report_id,date_time,police_beat,address_number_primary,address_pd_primary,address_road_primary,address_sfx_primary,address_pd_intersecting,address_name_intersecting,address_sfx_intersecting,violation_section,violation_type,charge_desc,injured,killed,hit_run_lvl,full_address
20201512,2020-02-29 18:35:00,518,1800, ,GREGORY,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,MISDEMEANOR,"1800   GREGORY STREET San Diego, California"
20201511,2020-02-29 18:40:00,315,4900, ,AUTO,CIRCLE, , , ,21658A,VC,LANE USAGE:UNSAFE LANE CHANGE (I),0,0,MISDEMEANOR,"4900   AUTO CIRCLE San Diego, California"
20201548,2020-02-29 19:00:00,623,4400, ,TAYLOR,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"4400   TAYLOR STREET San Diego, California"
20201672,2020-02-29 21:00:00,832,, ,EL CAJON,BOULEVARD, ,MARLBOROUGH,AVENUE,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,,"   EL CAJON BOULEVARD San Diego, California"
20201528,2020-02-29 21:27:00,122,1400, ,GARNET,AVENUE, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),1,0,,"1400   GARNET AVENUE San Diego, California"
20201515,2020-02-29 21:47:00,313,7700, ,BALBOA,AVENUE, , , ,23152A,VC,DUI ALCOHOL (M),2,0,,"7700   BALBOA AVENUE San Diego, California"
20201610,2020-02-29 22:24:54,523,600, ,06TH,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"600   06TH AVENUE San Diego, California"
20201514,2020-02-29 22:42:00,123,2300, ,WEST MISSION BAY,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"2300   WEST MISSION BAY DRIVE San Diego, California"
20201517,2020-03-01 00:15:20,123,500, ,OLD SEA WORLD,DRIVE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"500   OLD SEA WORLD DRIVE San Diego, California"
20012756,2020-03-01 02:11:00,518,2000, ,FERN,STREET, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,MISDEMEANOR,"2000   FERN STREET San Diego, California"
20201533,2020-03-01 09:56:00,124,6700, ,LA JOLLA,BOULEVARD, , , ,22106,VC,UNSAFE START ON HWY (I),0,0,MISDEMEANOR,"6700   LA JOLLA BOULEVARD San Diego, California"
20012812,2020-03-01 11:45:00,624,4300, ,MISSISSIPPI,STREET, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,,"4300   MISSISSIPPI STREET San Diego, California"
20201520,2020-03-01 11:55:00,114,5300, ,CONRAD,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,1,0,,"5300   CONRAD AVENUE San Diego, California"
20201741,2020-03-01 12:00:14,713,, ,12:00:14 PM, , , , ,20002(A),VC,HIT AND RUN:PROP DAMAGE (M),0,0,MISDEMEANOR,"   12:00:14 PM   San Diego, California"
20201527,2020-03-01 13:30:00,446,900,S,47TH,STREET, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,,"900 S 47TH STREET San Diego, California"
20201522,2020-03-01 14:14:00,122,4700, ,MISSION BAY,DRIVE, , , ,21955,VC,JAYWALKING (I),1,0,,"4700   MISSION BAY DRIVE San Diego, California"
20201523,2020-03-01 14:25:00,813,, ,BOUNDARY,STREET, ,UNIVERSITY,AVENUE,21801B,VC,RIGHT-OF-WAY: TO TURNING VEHICLES THAT HAVE YIELDED (I),2,0,,"   BOUNDARY STREET San Diego, California"
20201525,2020-03-01 14:46:00,524,, ,08TH,AVENUE, ,BROADWAY, ,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,,"   08TH AVENUE San Diego, California"
20201556,2020-03-01 15:00:00,611,2400, ,TRUXTUN,ROAD, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"2400   TRUXTUN ROAD San Diego, California"
20201524,2020-03-01 15:17:00,813,4200, ,OREGON,STREET, , , ,22108,VC,FAIL TO SIGNAL AT LEAST 100 FEET BEFORE TURN (I),1,0,,"4200   OREGON STREET San Diego, California"
20201526,2020-03-01 16:15:00,813,2800, ,ADAMS,AVENUE, , , ,23152A,VC,DUI ALCOHOL (M),0,0,,"2800   ADAMS AVENUE San Diego, California"
20201529,2020-03-01 16:55:00,313,4800, ,SHAWLINE,STREET, , , ,22106,VC,UNSAFE START ON HWY (I),0,0,,"4800   SHAWLINE STREET San Diego, California"
20201532,2020-03-01 17:02:00,524,600, ,C,STREET, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"600   C STREET San Diego, California"
20201530,2020-03-01 17:06:00,511,3600, ,MAIN,STREET, , , ,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,,"3600   MAIN STREET San Diego, California"
20201531,2020-03-01 17:57:00,614,5000, ,NEWPORT,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,MISDEMEANOR,"5000   NEWPORT AVENUE San Diego, California"
20201592,2020-03-01 18:20:00,722,1900, ,CORONADO,AVENUE, , , ,22107,VC,TURNS:UNSAFE TURN AND/OR NO TURN SIGNAL (I),0,0,MISDEMEANOR,"1900   CORONADO AVENUE San Diego, California"
20201535,2020-03-01 18:51:00,114,4400, ,CLAIREMONT MESA,BOULEVARD, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),2,0,,"4400   CLAIREMONT MESA BOULEVARD San Diego, California"
20201534,2020-03-01 19:22:00,243,9300, ,MIRAMAR,ROAD, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"9300   MIRAMAR ROAD San Diego, California"
20201536,2020-03-01 19:31:00,122,2000, ,GARNET,AVENUE, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),1,0,,"2000   GARNET AVENUE San Diego, California"
20201559,2020-03-01 20:00:00,326,5700, ,MARY LANE,DRIVE, , , ,22106,VC,UNSAFE START ON HWY (I),0,0,MISDEMEANOR,"5700   MARY LANE DRIVE San Diego, California"
20201538,2020-03-01 21:00:57,813,2500, ,UNIVERSITY,AVENUE, , , ,23152A,VC,DUI ALCOHOL (M),0,0,,"2500   UNIVERSITY AVENUE San Diego, California"
20201537,2020-03-01 21:23:00,122,1900, ,GRAND,AVENUE, , , ,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,MISDEMEANOR,"1900   GRAND AVENUE San Diego, California"
20201539,2020-03-01 22:00:00,122,800, ,GRAND,AVENUE, , , ,21801A,VC,RIGHT-OF-WAY:MAKING LEFT OR U-TURN (I),5,0,,"800   GRAND AVENUE San Diego, California"
20201540,2020-03-01 22:19:00,528,300,W,CEDAR,STREET, , , ,21955,VC,JAYWALKING (I),1,0,,"300 W CEDAR STREET San Diego, California"
20201541,2020-03-01 22:45:43,524,1200, ,05TH,AVENUE, , , ,21453A,VC,SIGNAL LIGHTS:CIRCULAR RED (I),1,0,,"1200   05TH AVENUE San Diego, California"
20201593,2020-03-01 23:09:00,451,3400, ,COLLEGE,AVENUE, , , ,MISC-HAZ,VC,MISCELLANEOUS HAZARDOUS VIOLATIONS OF THE VEHICLE CODE,0,0,MISDEMEANOR,"3400   COLLEGE AVENUE San Diego, California"
20201543,2020-03-01 23:30:00,721,, ,PALM,AVENUE, , , ,22350,VC,UNSAFE SPEED (BASIC SPEED LAW) (I),1,0,,"   PALM AVENUE San Diego, California"
